ID,parents,has_nurs,form,children,housing,finance,social,health,app_status
296,3,1,4,2,3,2,2,2,0
297,1,2,2,1,2,2,2,3,1
298,2,1,1,4,1,1,1,3,1
299,2,2,2,2,2,1,3,2,0
300,3,1,1,3,2,1,1,3,0
301,3,3,4,3,1,2,1,2,0
302,3,2,3,1,3,2,1,1,0
303,1,3,2,1,3,2,2,1,0
304,3,1,2,4,2,2,3,1,0
305,2,4,3,4,1,2,1,2,0
306,3,4,1,2,2,2,1,2,0
307,1,2,2,3,2,2,1,2,0
308,2,4,2,4,1,2,3,1,0
309,3,1,1,4,3,1,3,1,0
310,3,4,1,1,2,1,1,1,0
311,3,2,1,1,3,2,3,1,0
312,3,2,2,3,1,2,1,3,0
313,2,2,1,3,1,1,3,3,1
314,1,4,3,2,3,2,1,2,1
315,1,3,4,2,3,2,2,2,1
316,3,2,3,3,2,2,1,2,0
317,2,2,1,3,3,1,2,3,0
318,1,2,3,1,1,1,3,2,1
319,1,2,3,3,3,1,1,3,0
320,2,3,2,1,3,1,2,3,1
321,3,2,1,1,1,2,2,3,1
322,1,1,1,2,2,2,2,1,0
323,3,4,3,2,2,2,2,3,0
324,3,3,4,2,2,1,3,2,0
325,2,4,1,3,2,1,2,3,1
326,3,1,4,2,1,1,2,1,0
327,2,1,3,4,3,2,2,2,1
328,3,2,4,2,3,2,3,2,0
329,2,1,2,4,1,2,3,1,0
330,2,2,4,2,1,1,3,2,0
331,3,2,1,2,3,1,2,1,0
332,2,3,3,4,2,2,3,1,0
333,2,2,4,1,1,2,3,1,0
334,1,4,4,2,2,2,1,3,1
335,2,4,4,4,3,1,1,1,0
336,1,2,4,3,2,1,3,3,1
337,1,2,4,4,1,2,1,3,0
338,3,4,4,3,2,2,1,3,0
339,1,2,1,3,3,1,3,3,1
340,1,2,3,2,3,1,3,3,1
341,1,3,1,2,1,1,2,2,1
342,2,2,3,2,1,2,2,2,0
343,1,1,1,2,1,2,1,3,1
344,3,2,1,3,1,1,3,2,0
345,2,2,4,2,3,1,1,2,0
346,2,2,3,3,1,1,1,1,0
347,2,3,3,1,2,2,1,1,0
348,2,2,1,2,2,2,1,2,0
349,3,4,4,3,3,2,1,3,0
350,1,2,1,2,2,1,3,1,0
351,3,1,4,4,3,2,2,1,0
352,2,3,4,3,2,2,2,2,1
353,2,4,4,2,2,2,1,2,0
354,1,2,4,3,2,1,1,1,0
355,3,4,3,1,2,1,3,3,0
356,1,3,1,3,3,1,2,3,1
357,3,2,2,1,3,1,2,2,0
358,1,3,4,2,1,2,3,1,0
359,3,2,3,1,3,2,1,1,0
360,3,4,3,2,2,2,3,2,0
361,3,2,3,3,2,2,3,3,0
362,3,1,1,3,3,2,3,2,0
363,2,2,4,3,2,2,2,2,0
364,2,2,2,2,2,2,3,3,0
365,3,2,1,2,2,1,2,1,0
366,3,2,2,1,2,2,3,1,0
367,1,3,4,1,3,2,2,3,1
368,3,1,4,1,3,2,3,1,0
369,3,2,4,4,1,2,2,1,0
370,2,1,2,4,1,2,1,2,1
371,1,3,1,3,2,1,3,3,1
372,3,2,3,3,1,2,1,1,0
373,1,3,1,3,1,2,3,3,1
374,2,2,2,3,2,1,1,1,0
375,3,3,1,3,2,1,3,1,0
376,1,1,2,4,3,2,3,1,0
377,3,2,3,2,3,2,2,1,0
378,1,2,3,1,1,1,1,3,1
379,3,4,3,4,3,1,3,1,0
380,3,1,3,1,2,2,1,3,0
381,3,2,4,4,3,1,2,3,0
382,1,1,3,1,3,2,1,2,1
383,2,4,3,1,2,1,1,2,0
384,1,2,1,3,2,2,1,3,0
385,1,2,1,2,2,1,3,2,0
386,3,2,3,1,3,1,1,1,0
387,3,1,4,4,2,1,1,1,0
388,3,4,3,3,1,2,3,3,0
389,3,1,2,1,2,1,2,1,0
390,2,4,2,1,2,1,1,1,0
391,1,3,2,1,1,1,3,3,1
392,1,4,3,4,3,2,3,3,1
393,2,2,3,3,2,1,2,3,0
394,1,3,2,2,2,2,2,2,1
395,3,2,1,4,3,1,1,2,0
396,3,1,1,2,1,2,3,1,0
397,1,2,1,3,2,2,1,3,0
398,2,1,3,4,3,2,2,1,0
399,3,3,3,4,3,1,2,2,0
400,2,1,1,1,1,1,1,3,1
401,2,4,3,4,3,2,3,1,0
402,2,2,2,4,2,1,3,2,0
403,3,3,3,4,3,2,3,2,0
404,3,2,2,1,1,2,3,2,0
405,1,2,1,3,1,1,2,3,1
406,1,3,2,3,3,2,2,1,0
407,2,2,1,2,1,2,2,3,1
408,1,4,1,4,3,2,1,1,0
409,2,1,2,1,2,2,3,2,1
410,1,4,1,2,3,2,3,3,1
411,2,2,4,3,1,2,3,3,0
412,1,2,3,1,3,1,1,3,1
413,2,2,1,3,1,1,2,3,1
414,2,1,2,2,3,1,3,1,0
415,3,2,1,3,2,1,3,2,0
416,2,2,1,4,2,1,1,3,0
417,3,2,2,3,1,2,3,3,0
418,3,1,2,3,1,1,3,1,0
419,2,3,4,4,3,2,3,3,1
420,2,2,2,4,2,2,1,1,0
421,2,2,4,1,2,2,3,3,0
422,1,2,2,4,1,2,3,3,0
423,2,2,1,3,3,2,1,3,0
424,3,2,4,1,2,2,2,2,0
425,1,3,4,2,3,1,3,3,1
426,3,1,4,2,2,1,2,1,0
427,1,1,2,2,1,1,3,3,1
428,3,3,1,1,2,1,1,2,1
429,2,4,1,3,1,1,1,2,1
430,1,2,4,1,1,2,3,1,0
431,3,2,2,3,2,1,2,1,0
432,2,1,1,1,1,2,3,1,0
433,3,1,2,4,2,1,1,3,0
434,3,3,1,2,1,2,2,1,0
435,2,1,4,4,3,1,3,2,1
436,3,1,4,3,2,2,3,3,1
437,3,3,4,3,2,2,3,3,1
438,1,4,3,2,1,2,1,1,0
439,3,4,1,1,1,2,3,3,1
440,3,4,4,1,1,2,1,2,0
441,1,3,1,3,3,1,3,1,0
442,2,4,1,3,3,2,2,1,0
443,2,3,4,3,1,2,1,1,0
444,1,1,4,3,2,1,2,1,0
445,3,4,2,4,3,2,3,2,0
446,3,4,1,1,1,1,3,2,1
447,2,4,1,1,3,1,2,2,1
448,2,4,3,4,1,2,2,1,0
449,3,1,1,3,1,1,2,3,1
450,1,4,2,3,2,1,1,2,1
451,2,4,3,2,1,1,2,1,0
452,3,4,2,1,3,2,1,2,0
453,2,3,4,2,1,2,1,1,0
454,1,4,1,3,1,1,2,1,0
455,1,2,1,1,2,2,3,3,1
456,1,4,1,3,1,1,2,2,1
457,3,1,2,1,3,1,3,3,1
458,2,1,1,2,3,1,2,1,0
459,3,1,3,1,1,2,1,3,1
460,2,2,4,2,3,2,1,3,0
461,1,2,4,2,2,2,1,2,0
462,3,2,2,1,2,2,1,2,0
463,3,1,1,3,2,2,1,1,0
464,2,4,2,3,1,1,1,3,1
465,3,3,4,3,2,1,2,2,0
466,2,2,1,2,3,1,3,1,0
467,3,2,1,1,1,2,3,3,1
468,2,4,3,1,2,1,2,1,0
469,1,4,2,1,1,1,1,3,1
470,1,4,4,4,1,1,3,2,1
471,3,1,4,2,1,1,3,3,1
472,3,1,2,2,3,1,3,1,0
473,2,1,4,2,3,2,2,3,1
474,2,2,2,2,2,1,2,1,0
475,1,2,3,2,3,2,1,3,0
476,2,4,2,4,3,1,2,1,0
477,1,4,4,4,2,2,3,3,1
478,3,3,3,2,3,2,1,2,1
479,3,2,4,3,1,2,3,3,0
480,2,2,1,3,2,2,3,1,0
481,1,3,3,4,1,2,3,1,0
482,3,3,1,4,2,1,2,2,0
483,3,2,3,1,3,1,2,1,0
484,2,2,1,3,3,1,1,2,0
485,2,2,1,3,2,1,2,1,0
486,1,2,4,2,2,2,3,2,0
487,2,3,4,4,1,2,1,2,1
488,1,2,4,4,2,2,1,3,0
489,2,4,3,3,2,1,2,2,0
490,1,2,4,3,2,1,3,1,0
491,3,2,3,2,2,2,3,1,0
492,3,4,2,4,2,2,1,3,0
493,3,1,2,4,3,2,3,3,1
494,3,2,2,2,2,1,1,3,0
495,3,2,4,2,2,2,2,2,0
496,1,2,1,4,3,1,3,1,0
497,3,2,3,4,2,2,3,3,0
498,2,2,3,4,2,2,1,2,0
499,3,2,1,1,3,2,1,1,0
500,3,2,3,2,3,1,3,2,0
501,2,4,1,2,1,1,2,3,1
502,2,2,3,4,2,1,1,2,0
503,3,3,4,1,2,1,1,3,0
504,2,3,1,3,1,1,1,2,1
505,2,4,1,4,3,1,1,2,0
506,2,1,2,3,2,2,2,1,0
507,1,3,1,2,2,1,1,1,0
508,2,2,4,3,1,2,1,3,0
509,2,2,1,4,2,1,1,1,0
510,1,2,2,4,1,2,3,2,0
511,1,2,3,3,2,1,3,1,0
512,2,2,3,2,2,1,1,2,0
513,2,2,1,2,3,1,3,2,0
514,2,1,2,3,2,1,2,1,0
515,3,4,3,3,2,1,3,1,0
516,2,2,1,1,3,2,2,2,0
517,3,2,1,1,1,1,2,2,1
518,1,1,3,3,1,1,2,2,1
519,1,1,2,4,1,1,2,3,1
520,2,3,4,3,2,1,3,2,1
521,1,4,1,1,2,2,2,1,0
522,1,3,1,3,1,1,1,2,1
523,3,4,4,3,1,2,1,3,0
524,2,2,2,1,1,2,1,3,0
525,3,2,3,3,3,2,2,2,0
526,1,2,2,3,3,1,1,3,0
527,1,4,1,1,3,1,2,1,0
528,1,1,2,1,3,2,2,1,0
529,1,4,1,3,1,2,2,2,1
530,3,3,4,3,3,2,2,3,1
531,1,1,1,3,2,2,2,3,1
532,3,2,4,1,2,1,2,1,0
533,1,3,3,4,1,1,3,2,1
534,3,3,3,2,1,2,2,3,1
535,3,2,3,2,2,1,2,1,0
536,1,3,4,3,1,2,3,1,0
537,3,4,4,2,3,2,2,3,0
538,2,1,1,1,3,1,3,2,1
539,1,3,2,1,2,2,1,3,1
540,2,3,3,2,1,1,1,1,0
541,2,4,3,4,3,1,3,2,0
542,3,2,1,4,3,1,2,2,0
543,1,2,3,4,2,2,1,2,0
544,1,4,4,4,3,1,1,3,1
545,3,4,2,4,3,2,2,1,0
546,3,2,2,3,1,1,1,2,0
547,3,1,3,4,1,2,2,3,1
548,1,3,1,2,1,1,3,3,1
549,3,2,3,3,1,2,1,3,0
550,3,1,1,4,3,2,1,2,0
551,2,3,2,1,2,2,3,3,1
552,3,2,1,3,3,2,1,2,0
553,1,4,3,2,3,1,3,2,1
554,3,2,2,2,3,2,3,3,0
555,1,4,2,1,1,2,2,3,1
556,3,2,3,1,3,1,2,2,0
557,3,2,2,4,2,1,3,3,0
558,1,4,1,2,3,1,2,1,0
559,3,1,1,2,2,2,2,1,0
560,3,2,1,2,3,1,1,2,0
561,1,1,3,1,2,1,1,2,1
562,1,3,3,2,2,1,1,3,1
563,2,4,4,2,2,1,3,3,1
564,3,1,4,1,2,1,1,2,0
565,1,3,4,4,1,2,2,1,0
566,2,4,2,3,2,1,2,3,1
567,2,1,3,2,3,1,1,2,1
568,2,3,4,4,1,1,2,3,1
569,3,2,4,2,2,1,1,1,0
570,1,2,4,3,3,2,1,3,0
571,3,2,3,3,1,2,3,1,0
572,1,3,1,2,3,1,1,1,0
573,1,2,4,2,3,2,1,3,0
574,1,2,2,2,2,2,2,1,0
575,1,4,2,1,3,2,1,3,1
576,2,1,1,1,2,2,3,1,0
577,2,1,2,1,2,2,2,2,1
578,1,2,1,4,2,1,3,1,0
579,2,4,3,4,2,2,2,3,1
580,1,2,1,4,3,1,2,1,0
581,2,2,3,1,2,2,2,3,0
582,1,1,2,2,2,2,3,1,0
583,2,2,4,4,2,1,3,2,0
584,2,1,3,4,2,1,1,3,1
585,2,2,1,4,3,1,3,2,0
586,3,2,3,2,3,1,2,2,0
587,3,1,2,1,2,1,3,1,0
588,1,2,4,3,1,2,2,1,0
589,2,2,4,1,1,1,2,2,0
590,3,2,1,1,3,1,3,3,1
591,1,4,1,1,2,2,3,1,0
592,3,4,1,1,1,1,2,2,1
593,2,2,4,2,2,1,3,1,0
594,3,2,3,4,2,2,1,2,0
595,3,4,2,1,1,1,1,3,0
596,1,2,4,4,1,2,2,1,0
597,2,2,2,1,2,1,1,1,0
598,2,3,3,2,1,2,1,3,1
599,1,1,3,1,1,1,1,1,0
600,3,3,1,4,2,1,2,1,0
601,3,2,2,1,3,2,3,1,0
602,1,4,1,3,3,1,1,3,1
603,3,2,4,2,3,1,3,1,0
604,3,1,4,3,2,2,2,3,1
605,2,2,2,1,3,2,2,1,0
606,3,4,2,1,2,1,3,2,0
607,2,2,1,3,1,1,1,1,0
608,3,2,3,2,1,2,3,1,0
609,1,2,3,4,3,1,3,3,1
610,3,2,3,4,3,2,1,3,0
611,1,2,3,3,1,2,1,2,0
612,2,4,1,1,3,2,3,3,1
613,1,1,3,2,2,1,1,3,1
614,2,2,2,1,1,1,2,3,1
615,1,1,1,4,3,2,3,3,1
616,1,2,3,1,3,2,1,3,0
617,2,4,3,4,1,2,3,2,0
618,2,2,1,4,2,2,3,3,0
619,1,4,2,2,2,1,1,3,1
620,1,1,4,1,1,2,3,3,1
621,3,2,3,3,2,2,3,1,0
622,2,4,3,3,2,2,2,1,0
623,2,1,2,4,3,2,3,3,1
624,1,4,3,3,3,1,1,1,0
625,3,2,4,1,3,1,2,2,0
626,3,3,3,3,3,1,3,2,0
627,2,2,1,2,2,1,1,3,0
628,3,3,1,3,1,2,1,2,0
629,1,2,2,1,1,2,3,3,1
630,3,2,3,1,2,1,3,1,0
631,3,4,2,3,3,2,2,3,0
632,2,4,2,1,1,1,3,2,1
633,1,2,1,2,2,2,2,1,0
634,2,3,3,1,3,2,3,2,1
635,2,2,1,2,1,2,2,1,0
636,1,4,2,4,3,2,2,2,1
637,2,2,4,2,2,2,1,3,0
638,1,2,1,4,3,2,3,1,0
639,3,4,1,3,1,2,3,2,0
640,2,4,3,1,1,1,2,2,1
641,1,4,1,3,3,2,1,2,1
642,3,1,3,4,1,1,3,3,1
643,2,3,4,2,1,2,2,1,0
644,2,3,4,1,2,1,2,3,1
645,2,2,3,2,1,2,3,2,0
646,1,3,3,3,2,1,2,1,0
647,3,2,1,4,3,2,1,3,0
648,3,3,1,4,1,2,3,2,0
649,3,2,1,1,3,2,2,3,1
650,1,4,4,4,3,2,1,2,1
651,3,3,4,4,1,1,1,1,0
652,3,2,3,4,1,2,2,2,0
653,1,2,4,2,3,2,1,2,0
654,1,4,2,4,2,2,3,1,0
655,1,3,4,1,2,2,1,1,0
656,1,1,2,2,3,2,2,3,1
657,1,1,1,2,2,1,3,2,1
658,1,4,2,3,1,1,3,2,1
659,3,2,4,2,1,1,3,3,1
660,3,1,1,4,1,2,3,1,0
661,2,2,4,4,1,1,2,1,0
662,2,3,4,2,1,1,1,1,0
663,3,2,1,1,1,1,3,3,1
664,3,2,2,3,2,2,1,3,0
665,1,3,4,2,2,1,3,1,0
666,1,3,2,3,3,1,3,1,0
667,3,2,4,2,3,1,2,2,0
668,3,1,3,2,1,2,2,3,1
669,1,4,2,3,3,1,3,3,1
670,1,2,1,1,3,1,1,2,0
671,3,2,3,4,2,1,3,2,0
672,2,1,1,3,3,2,1,2,1
673,2,1,1,2,2,2,3,3,1
674,1,3,1,2,3,2,3,1,0
675,1,2,4,4,2,2,2,2,0
676,2,1,2,1,1,2,1,2,1
677,1,3,4,4,2,2,3,2,1
678,2,1,2,1,1,1,3,3,1
679,2,2,1,1,2,1,3,2,0
680,2,4,1,2,3,2,3,2,1
681,1,4,4,2,1,2,1,3,1
682,1,3,2,4,3,2,1,3,1
683,3,4,3,1,1,1,1,3,0
684,2,1,1,4,3,1,3,3,1
685,1,1,3,1,3,1,3,1,0
686,1,1,2,4,3,2,1,2,1
687,1,2,2,4,1,2,2,1,0
688,1,2,2,1,2,1,2,2,0
689,3,1,1,4,2,1,1,2,0
690,2,3,2,1,3,2,3,2,1
691,1,2,3,1,1,1,2,1,0
692,1,1,2,4,1,2,3,1,0
693,1,4,4,4,3,2,1,3,1
694,2,3,1,1,2,1,1,2,1
695,3,2,2,2,3,1,2,2,0
696,3,1,4,4,1,2,3,1,0
697,3,3,3,1,1,1,1,3,1
